Title,Global Version,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Genre_genre
The Wandering Earth // 流浪地球,Yes,2019-04-30,4200000,35311.0,5.9,"['Action', 'Adventure', 'Sci-Fi']","planet earth,jupiter,ai,survival,astronaut","As the sun is dying out, people all around the world build giant planet thrusters to move Earth out of its orbit and sail Earth to a new star system. Yet the 2500-year journey comes with unexpected dangers, and in order to save hu...",Sci-Fi
True Memoirs of an International Assassin,Yes,2016-11-11,4200000,24131.0,5.9,"['Action', 'Comedy', 'Crime']","writer,gun,agent,fight,assassin","After a publisher changes a writer&apos;s debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...",Action
True Memoirs of an International Assassin,Yes,2016-11-11,4200000,24131.0,5.9,"['Action', 'Comedy', 'Crime']","writer,gun,agent,fight,assassin","After a publisher changes a writer&apos;s debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...",Comedy
True Memoirs of an International Assassin,Yes,2016-11-11,4200000,24131.0,5.9,"['Action', 'Comedy', 'Crime']","writer,gun,agent,fight,assassin","After a publisher changes a writer&apos;s debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur...",Crime
Warrior: Season 1 // Kriger: Sæson 1,Yes,2018-11-13,4200000,46265.23757763975,6.6,['Short'],"tv special,stand up comedy,stand up comedy special","Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the...",Short
Without Saying Goodbye // Hasta que nos volvamos a encontrar,No,2022-03-18,4200000,3271.0,5.8,"['Comedy', 'Romance']","hotel,vacation,travel,cuzco peru,parent",The opposite lives of a workaholic architect and a fiery artist are upended when their chance encounter in breathtaking Peru shifts their views on life.,Comedy
Without Saying Goodbye // Hasta que nos volvamos a encontrar,No,2022-03-18,4200000,3271.0,5.8,"['Comedy', 'Romance']","hotel,vacation,travel,cuzco peru,parent",The opposite lives of a workaholic architect and a fiery artist are upended when their chance encounter in breathtaking Peru shifts their views on life.,Romance
A Shaun the Sheep Movie: Farmageddon,No,2020-02-14,4100000,15177.0,6.8,"['Animation', 'Adventure', 'Comedy']","sheep,theme park,robot,sequel,combine harvester","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",Animation
A Shaun the Sheep Movie: Farmageddon,No,2020-02-14,4100000,15177.0,6.8,"['Animation', 'Adventure', 'Comedy']","sheep,theme park,robot,sequel,combine harvester","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",Adventure
A Shaun the Sheep Movie: Farmageddon,No,2020-02-14,4100000,15177.0,6.8,"['Animation', 'Adventure', 'Comedy']","sheep,theme park,robot,sequel,combine harvester","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",Comedy
A Trip to Infinity,Yes,2022-09-26,4100000,3844.0,7.0,['Documentary'],"science,psychedelic animation,cat,infinity,math",Can we experience the infinite? The world&apos;&apos;s most modern scientists and mathematicians embark on a search for the infinite and its amazing effects on the universe.,Documentary
Accidentally in Love: Season 1 // 惹上冷殿下: 第 1 季,No,2018-10-19,4100000,891.0,5.3,"['Comedy', 'Romance']","san francisco california,california,advertising agency,opposites attract,winery","When their significant others each break up with them, Alexa accidentally sends Jason a &apos;broken heart&apos; text, thinking she&apos;s texting her friend.",Comedy
Accidentally in Love: Season 1 // 惹上冷殿下: 第 1 季,No,2018-10-19,4100000,891.0,5.3,"['Comedy', 'Romance']","san francisco california,california,advertising agency,opposites attract,winery","When their significant others each break up with them, Alexa accidentally sends Jason a &apos;broken heart&apos; text, thinking she&apos;s texting her friend.",Romance
Amateur,Yes,2018-04-06,4100000,6927.0,6.8,"['Comedy', 'Crime', 'Drama']","pornographer,new york city,nun,amnesia,pantyhose","An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there&apos;s Sofia, the porn star.",Comedy
Amateur,Yes,2018-04-06,4100000,6927.0,6.8,"['Comedy', 'Crime', 'Drama']","pornographer,new york city,nun,amnesia,pantyhose","An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there&apos;s Sofia, the porn star.",Crime
Amateur,Yes,2018-04-06,4100000,6927.0,6.8,"['Comedy', 'Crime', 'Drama']","pornographer,new york city,nun,amnesia,pantyhose","An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there&apos;s Sofia, the porn star.",Drama
Archibald's Next Big Thing: Season 2,Yes,2020-03-20,4100000,19.0,9.3,['Music'],"tv special,stand up comedy,stand up comedy special","The dramatic and fantastic farewell concert of the cult rap/rock group 2 Skinnee J&apos;s, intertwined with interviews and sketch comedy with the band.",Music
